title,heading,content,tokens
Canada,SUSTAINABLE CANADIAN AGRICULTURAL PARTNERSHIP,"Canada's SUSTAINABLE CANADIAN AGRICULTURAL PARTNERSHIP (2023 - 2028). The Sustainable Canadian Agricultural Partnership Sustainable CAP is a new 3 5 billion 5 year agreement April 1 2023 to March 31 2028 between the federal provincial and territorial governments to strengthen the competitiveness innovation and resiliency of the agriculture agrifood and agribased products sector It has the following objectives: Investments in science research and innovation to address key challenges and opportunities Strengthen the resiliency of the sector Open new marketsIt uses Strategies, agendas and plans as policy instruments. and it has a budget of More than 500M euros.",97
Canada,NORTHERN FOOD INNOVATION CHALLENGE,Canada's NORTHERN FOOD INNOVATION CHALLENGE (2021 - Ongoing). This is the third stream financed through the Northern Isolated Community Initiatives Fund totaling 15 million over five years which supports community led projects for local and indigenous food production systems with an emphasis on innovative and practical solutions to increase food security across the north It has the following objectives: To encourage the development of innovative solutions to food insecurity in the north Innovation may include the development of a new product or process but also adaptation of an existing product or process to work in a northern climate or in remote areasIt uses Project grants for public research as policy instruments. and it has a budget of 1M-5M euros.,119
Chile,LONG TERM CLIMATE STRATEGY,"Chile's LONG TERM CLIMATE STRATEGY (2021 - Ongoing). Strategy launched at COP26 in November 2021 with the aim of promoting R D and extension services to reduce agricultural emissions It has the following objectives: Define the general long term guidelines that the country will follow in a transversal and integrated manner considering a 30 year horizon to face the challenges presented by climate change Move towards a development low in greenhouse gas emissions until reaching and maintaining emissions neutrality Reduce vulnerability and increase resilience to the adverse effects of climate changeIt uses Strategies, agendas and plans as policy instruments.",99
European Union,EU SOIL OBSERVATORY EUSO,European Union's EU SOIL OBSERVATORY EUSO (2020 - Ongoing). The EU Soil Observatory EUSO aims to become the principal provider of reference data and knowledge at EU level for all matters relating to soil It has the following objectives: To support policymaking in the European Union by providing the Commission and the broader soil user community with the soil knowledge and data flows needed to safeguard soils Supporting EU Research and Innovation on soils and raising societal awareness of the value of soils In order to carry out this mission the EUSO aims to collect high resolution harmonised and quality assured soil information to track and assess progress by the European Union in the sustainable management of soils and restoration of degraded soils Support the outcomes of targeted research Foster networking co operation and partnerships among users of soil data and information Underpin policy development through meaningful indicators and assessmentIt uses Information services and access to datasets as policy instruments.,160
Iceland,FUND FOR R D FOOD PRODUCTION PROCESSING,Iceland's FUND FOR R D FOOD PRODUCTION PROCESSING (2020 - Ongoing). A new fund was established as part of the Agricultural Productivity Fund in order to further strengthen research and development in food production and food processing Grants from the fund are not limited to primary agriculture production but are intended to stimulate innovation in food production in general Emphasis is on innovation sustainability value creation and competitiveness It has the following objectives: To help to meet the SDG of the United Nations To stimulate innovation in food production in general Foster innovation sustainability value creation and competitivenessIt uses Project grants for public research as policy instruments. and it has a budget of 1M-5M euros.,115
Japan,FUNDING OF MIDORI STRATEGY,"Japan's FUNDING OF MIDORI STRATEGY (2021 - Ongoing). Implementation of Japans Strategy for Sustainable Food Systems It has the following objectives: To increase the sustainability and productivity of Japans food systems To enhance engagement of stakeholders at each stage of food supply chains To promote innovation to reduce environmental burdenIt uses Grants for business R&D and innovation, Project grants for public research, Science and innovation challenges, prizes and awards as policy instruments. and it has a budget of 20M-50M euros.",80
Australia,NATIONAL AGRICULTURAL INNOVATION POLICY STATEMENT,Australia's NATIONAL AGRICULTURAL INNOVATION POLICY STATEMENT (2021 - 2023). This statement is an important part of the Australian Governments National Agricultural Innovation Agenda that takes another step in the journey of modernising our research and development system It has the following objectives: To establishing four new priorities for agricultural innovation that target exports climate resilience biosecurity and digital agricultureIt uses nan as policy instruments.,64
Australia,NATIONAL SOIL STRATEGY,"Australia's NATIONAL SOIL STRATEGY (2021 - Ongoing). The strategy sets out how Australia will value manage and improve its soil for the next 20 years It has the following objectives: To prioritise soil health Empower soil innovation and stewardship Strengthen soil knowledge and capabilityIt uses Strategies, agendas and plans as policy instruments. and it has a budget of 5M-20M euros.",60
Australia,FUNDING THE SOIL SCIENCE CHALLENGE GRANTS PROGRAMME,Australia's FUNDING THE SOIL SCIENCE CHALLENGE GRANTS PROGRAMME (2022 - 2025). AUD 20 million USD 15 million as part of the National Soil Package It has the following objectives: To support research will add to Australias soil health knowledge and address soil related research priorities including soil carbon dynamics soil hydrology soil biology and nutrients or soil root interfaceIt uses Project grants for public research as policy instruments. and it has a budget of 5M-20M euros.,76
Colombia,CLIMATE ACTION LAW,"Colombia's CLIMATE ACTION LAW (2021 - Ongoing). The Law will incorporate by 2030 criteria related to climate adaptation and resilience in the plans programmes and projects of the institutions linked to the Ministry of Agriculture and Rural Development MARD It has the following objectives: To implement by 2030 in at least 11 agricultural sub sectors rice corn potato beef cattle dairy cattle panela cane cocoa banana coffee sugar cane and oil palm models that improve their capacities to adapt to climate variability and change through research technological development and the adoption of productive transformation practices for agricultural and livestock activities to make them more resilient To incorporate by 2030 in the sectoral competitiveness agreements measures for productive transformation through the implementation of state of the art technologies genetics biotechnology Agriculture 4 0 metabolomics and other technological tools necessary to meet national goals for adaptation to climate change by all agricultural value chains by MARD To expand to 2030 the coverage and participation in the agro climatic technical roundtables to five natural regions of the country Andean Caribbean Amazon Pacific and Orinoqua in co ordination with the national agro climatic roundtables and provide agro climatic br information to all farmers in the countryIt uses Public awareness campaigns and other outreach activities, Strategies, agendas and plans as policy instruments.",217
Estonia,RESEARCH INNOVATION AND KNOWLEDGE TRANSFER PILLAR OF THE AFS 2030,"Estonia's RESEARCH INNOVATION AND KNOWLEDGE TRANSFER PILLAR OF THE AFS 2030 (2021 - Ongoing). The government of Estonia in 2020 included the circular bioeconomy in the new Estonian Agricultural and Fisheries Strategy 2030 as a horizontal priority with the strategy implemented through the CAP Eight directions br 1 Agricultural environment br 2 Plant health animal health and welfare br 3 Food safety br 4 Quality inputs in agriculture br 5 Production valorization and distribution of agricultural products br 6 Rural and coastal development br 7 Research innovation and knowledge transfer br 8 Sustainable fisheries It has the following objectives: To support the achievement of the specific objectives of the AFS 2030It uses Strategies, agendas and plans as policy instruments.",119
France,INSTITUT AGRO,France's INSTITUT AGRO (2020 - Ongoing). France launched their National Institute of Higher Education for Agriculture Food and the Environment The Institute is the result of a merger between two existing programmes AgroCampus West and Montpelier SupAgro with the joining of more institutions envisioned in the coming years It has the following objectives: To support the agricultural and food sectors with research and innovations to facilitate agroecological digital and climate transitionsIt uses Creation or reform of governance structure or public body as policy instruments.,84
Iceland,NEW AND EXTENSIVE AGRICULTURE POLICY PROPOSAL,"Iceland's NEW AND EXTENSIVE AGRICULTURE POLICY PROPOSAL (2022 - 2037). Public policy for the agricultural sector until 2040 It contains nineteen topics including organic agriculture environmental issues biodiversity education the Fourth Industrial Revolution 4IR and innovation It has the following objectives: To enhance food security sustainable land use increased value creation and competitiveness on the basis of science and latest technology and to promote thriving agriculture throughout the countryIt uses Strategies, agendas and plans as policy instruments.",77
Mexico,CLIMATE CHANGE STRATEGIC PLAN FOR THE AGRI FOOD SECTOR,"Mexico's CLIMATE CHANGE STRATEGIC PLAN FOR THE AGRI FOOD SECTOR (2022 - Ongoing). Mexicos agricultural sector strategy considering community and scientific knowledge It has the following objectives: Promotes agricultural practices adapted to climatic and environmental conditions Adopt agroforestry agroecology and biodigesters on livestock farmsIt uses Strategies, agendas and plans as policy instruments.",52
Mexico,NATIONAL SOIL STRATEGY FOR SUSTAINABLE AGRICULTURE,"Mexico's NATIONAL SOIL STRATEGY FOR SUSTAINABLE AGRICULTURE (2022 - 2030). The National Soil Strategy for the Sustainable Agriculture ENASAS emerges in response to the need to organize coordinate and strengthen implementation of actions aimed at managing sustainability of agricultural soils of the country that allow its conservation and the maintenance of its functions elementary for agriculture security food and well being of the population It has the following objectives: To conserve soils restore deteriorated soils and promote sustainable soil management for agricultural productivity food security nutrition and the overall wellbeing of people particularly those living in rural areas To seek the generation and integration of traditional and scientific knowledge in order to promote technological innovations adapted to different socio ecological contexts that meet the specific needs of the territories and populations in the countryIt uses Strategies, agendas and plans as policy instruments.",142
New Zealand,PRIMARY SECTOR CLIMATE ACTION PARTNERSHIP,New Zealand's PRIMARY SECTOR CLIMATE ACTION PARTNERSHIP (2020 - 2025). He Waka Eke Noa is a partnership with industry Mori and Government It is a five year programme that will equip farmers and growers with the information tools and support they need to reduce agricultural greenhouse gas emissions and build resilience to climate change It has the following objectives: To reduce agricultural greenhouse gas emissions To recognise on farm carbon sequestration To adapt to a changing climateIt uses Technology extension and business advisory services as policy instruments.,87
New Zealand,NEW ZEALAND AGRICULTURAL GREENHOUSE GAS RESEARCH CENTRE,New Zealand's NEW ZEALAND AGRICULTURAL GREENHOUSE GAS RESEARCH CENTRE (2009 - Ongoing). The NZAGRC funded by the Ministry for Primary Industries brings together nine organisations that conduct research to reduce New Zealands agricultural GHG emissions It has the following objectives: The NZAGRC s mission is to provide information technologies and behaviours that help agriculture create wealth for New Zealand in a carbon constrained worldIt uses Institutional funding for public research as policy instruments. and it has a budget of 5M-20M euros.,81
Portugal,TECHNOLOGICAL FREE ZONES FOR CLEAN ENERGY,"Portugal's TECHNOLOGICAL FREE ZONES FOR CLEAN ENERGY (2021 - Ongoing). The Technological Free Zones ZLTs plans to create three ZLTs focusing on generating clean and renewable energy offshore oceanic energy onshore energy and a combination of agriculture an energy for each zone It has the following objectives: To test innovative technologies products services in a real or quasi real environment corresponding to the concept of regulatory sandboxIt uses Strategies, agendas and plans as policy instruments.",75
Portugal,RURAL INNOVATION NETWORK,Portugal's RURAL INNOVATION NETWORK (2020 - Ongoing). Portugal launched the Innovation Network under the Agricultural Innovation Agenda 2020 30 The Innovation Network is composed of 24 research centres and focuses on products such as fruit and vegetables wine olive oil and cereals and aims to address aspects of digitalisation and sustainability in these agro food sub sectors targeting in particular technology adoption It has the following objectives: To contribute to more sustainability and productivity in agriculture forestry and rural areas and to to create links between the different Operational Groups from Portugal and from other member statesIt uses Networking and collaborative platforms as policy instruments.,105
Spain,STRATEGIC PROJECT FOR ECONOMIC RECOVERY AND TRANSFORMATION AGRIFOOD,"Spain's STRATEGIC PROJECT FOR ECONOMIC RECOVERY AND TRANSFORMATION AGRIFOOD (2022 - Ongoing). Its objective is to promote the integrated development of the entire agrifood chain through the digitization of processes and the incorporation of knowledge and innovation It has the following objectives: Facilitate access to healthy safe and sustainable food which meets the needs of an increasingly segmented population and with a greater demand for food with healthy and environmentally sustainable attributes Sustainability and competitiveness Traceability and food safety Development of new technologies services and products that allow increasing the export capacity not only of products agri food as well as digital technologies and servicesIt uses Strategies, agendas and plans as policy instruments. and it has a budget of More than 500M euros.",123
Switzerland,NATIONAL PATHWAY FOR FOOD SYSTEMS TRANSFORMATION,"Switzerland's NATIONAL PATHWAY FOR FOOD SYSTEMS TRANSFORMATION (2021 - Ongoing). Switzerland s national pathway is based on the 2030 Sustainable Development Strategy 2030 SDS and the results of the dialogues held between March and June 2021 in preparation for the Food Systems Summit It has the following objectives: Identify relevant issues to addressIt uses Strategies, agendas and plans as policy instruments.",61
United Kingdom,FARMING INNOVATION FUND,United Kingdom's FARMING INNOVATION FUND (2021 - Ongoing). The Farming Innovation Fund will fund the deployment of new technologies It has the following objectives: Help farmers growers and foresters increase productivity sustainability and resilience Reduce the environmental impact of agriculture and horticulture Apply agricultural research to provide real benefits for farmers growers and foresters Use science to develop solutions for the practical challenges in agriculture and horticultureIt uses Grants for business R&D and innovation as policy instruments.,77
Viet Nam,LAWS ON CROP PRODUCTION AND ANIMAL HUSBANDRY,"Viet Nam's LAWS ON CROP PRODUCTION AND ANIMAL HUSBANDRY (2018 - Ongoing). The 2018 laws on Crop Production and Animal Husbandry identify a role for research and development to help the sector adapt to climate change and mitigate GHG emissions It has the following objectives: To apply science and technology in livestock production to improve the productivity quality br efficiency and competitiveness of the animal husbandry sector to ensure food safety epidemic br safety environmental protection and scoping with climate changes Enumerating investigating and building databases of crop production activities databases of market information and forecasting developing strategies for crop production development establishing technical standards and regulations on crop farming activities To research and apply science and technology with priority given to high technologies br advanced technologies and new technologies to create breakthrough products in animal br husbandry import raise and keep original breeds Comply with technical standards and regulations on land and water environmental quality and crop production processes ensure food safety biosafety epidemic safety and environmental protection To build infrastructure and equipment for scientific and technological researches and training br establishments to develop high quality human resources vocational training in animal br husbandry and animal husbandry and agricultural extension with priority given to deep lying br remote and ethnic minority areas difficult areas and especially difficult areas To invest in high technologies advanced technologies and new technologies in slaughtering br processing and preserving livestock products and technologies for treatment of livestock br production wastes for use as fertilizers and other purposesIt uses Strategies, agendas and plans, Regulatory oversight and ethical advice bodies as policy instruments.",267
Viet Nam,PLAN OF RESTRUCTURING AGRICULTURAL SECTOR,Viet Nam's PLAN OF RESTRUCTURING AGRICULTURAL SECTOR (2021 - Ongoing). The government approved the research and development programme for plant and livestock varieties serving agricultural restructuring for the period 2021 30 Decision No 703 2020 QD TTg It has the following objectives: To improve research capacity and the production of agricultural plant and livestock varieties To support the modernisation of the agricultural sector adaptation to climate change and the restructuring of agricultural production to improve competitiveness increase value added and promote sustainable developmentIt uses Horizontal STI coordination bodies as policy instruments. and it has a budget of More than 500M euros.,101
Australia,THE FUTURE FUELS FUND EXPANSION,"Australia's THE FUTURE FUELS FUND EXPANSION (2021 - 2028). The 500m Driving The Nation Fund will expand the national roll out of EV charging and hydrogen refuelling infrastructure as well as support investment in fleets It has the following objectives: To reduce emissions from road transportIt uses Grants for business R&D and innovation, Grants for business R&D and innovation, Grants for business R&D and innovation as policy instruments. and it has a budget of 50M-100M euros.",76
Australia,SUSTAINABLE AVIATION AND MARINE BIOFUELS FUNDS,"Australia's SUSTAINABLE AVIATION AND MARINE BIOFUELS FUNDS (2021 - Ongoing). 33m for the Australian Renewable Energy Agency ARENA It has the following objectives: To support development and deployment of sustainable aviation and marine biofuels To support emissions reductionIt uses Project grants for public research, Grants for business R&D and innovation as policy instruments.",53
Brazil,FUEL OF THE FUTURE PROGRAMME,"Brazil's FUEL OF THE FUTURE PROGRAMME (2021 - Ongoing). The program aims to propose measures to improve the use of low carbon fuels to decarbonize the transport sector It has the following objectives: Integrate public policies related to the theme Propose measures to improve the quality of fuels with a view to promoting a reduction in the average carbon intensity of the fuel matrix reducing emissions in all modes of transport and increasing energy efficiency Propose methodology for analyzing the complete life cycle from well to wheel in the different modes of transport Propose actions to provide the consumer with adequate information in order to contribute to the conscious choice of vehicle and energy source considering the life cycle of fuels br Propose studies to create a high octane gasoline specification br Propose studies to enable ethanol fuel cell technology Evaluate conditions for the introduction of sustainable aviation kerosene in the Brazilian energy matrix Establish a national strategy for the use of sustainable fuels in maritime transport and establish conditions for the use of carbon capture and storage technology associated with the production of biofuelsIt uses Strategies, agendas and plans as policy instruments.",193
Canada,CLEAN TRANSPORTATION SYSTEM R D PROGRAM,Canada's CLEAN TRANSPORTATION SYSTEM R D PROGRAM (2021 - 2024). The Clean Transportation System Research and Development Program CTS RD supports needed research in the aviation marine and rail sectors It gathers the technical information we need to develop evidence based regulations and measures to reduce emissions and achieve Canadas goal of reducing GHG emissions It has the following objectives: Support ongoing efforts to reduce emissions from the aviation marine and rail industriesIt uses Project grants for public research as policy instruments. and it has a budget of 1M-5M euros.,90
Canada,ELECTRIC VEHICLE INFRASTRUCTURE DEMONSTRATION EVID PROGRAM,Canada's ELECTRIC VEHICLE INFRASTRUCTURE DEMONSTRATION EVID PROGRAM (2017 - Ongoing). The EVID program aims to accelerate the market entry of next generation clean energy infrastructure by supporting demonstration projects of innovative EV charging and hydrogen refuelling technologies in order to lead to an increased uptake of ZEVs It has the following objectives: Demonstration projects under the EVID Program will address barriers to the deployment of EV charging infrastructure and H2 refuelling infrastructure which will lead to an increased uptake of zero emission vehicles ZEVs ZEVs are defined as plug in hybrid EVs battery EVs and H2 fuel cell vehiclesIt uses Grants for business R&D and innovation as policy instruments.,109
Denmark,GREEN FUELS FOR TRANSPORT,"Denmark's GREEN FUELS FOR TRANSPORT (2022 - Ongoing). Agreement to earmark DKK 1 25 billion to develop green fuels for aircraft ships and trucks in Denmark and abroad within the Power to X Strategy It has the following objectives: Develop green fuels for aircraft ships and trucks in Denmark and abroad within the Power to X StrategyIt uses Strategies, agendas and plans as policy instruments. and it has a budget of 100M-500M euros.",73
European Union,ZERO EMISSION WATERBORNE TRANSPORT PARTNERSHIP,"European Union's ZERO EMISSION WATERBORNE TRANSPORT PARTNERSHIP (2021 - Ongoing). The Partnership will provide and demonstrate zero emission solutions for all main ship types and services before 2030 which will enable zero emission waterborne transport before 2050 br Total estimated budget EUR 3 8 bn EU commitments EUR 530 m Partners commitments EUR 3 3 bn It has the following objectives: Develop and demonstrate deployable technological solutions which will be applicable for the decarbonisation and the elimination of other harmfull emissions of main ship types and services br Facilitate the implementation of economically viable European new technologies and concepts regarding zero emission waterborne transport to strengthen the competitiveness of european industries in growing green ship technology markets and provide the capability to re enter markets presently dominated by Europes competitors br Facilitate the development and implementation of regulations and policies at national and international level including the development of standards to enable the implementation of technological solutions for zero emission waterborne transport by 2030 at the latest br Facilitate the uptake of innovative zero emission waterborne transport technologies and solutions within the European waterborne sector supporting economic growth and european employment Amid growing global and European societal pressure to resolve issues related to climate change air pollution and the degradation of the worlds br oceans political and regulatory attention has been increasingly directed towards waterborne transport due to this mode of transports high environmental and climate impact The European Green Deal the br Paris Agreement Objectives the Initial IMO Strategy on the reduction of GHG emissions from ships and the CCNR Ministerial Mannheim Declaration are a number of key policy developments which provide a br clear objective towards zero emission waterborne transportIt uses Strategies, agendas and plans as policy instruments.",290
European Union,TOWARDS ZERO EMISSION ROAD TRANSPORT PARTNERSHIP,European Union's TOWARDS ZERO EMISSION ROAD TRANSPORT PARTNERSHIP (2021 - Ongoing). The Towards zero emission road transport 2Zero is a co programmed Partnership funded under the Horizon Europe programme and aiming at accelerating the transition towards zero tailpipe emission road mobility across Europe br Total estimated budget EUR 1 23 bn EU commitments EUR 615 m Partners commitments Up to EUR 900 m It has the following objectives: The 2Zero partnership will implement an integrated system approach covering Battery Electric Vehicles BEV and Fuel Cell Electric Vehicles FCEV With the support of five Technology Platforms ERTRAC EPoSS ETIP SNET ALICE and Batteries Europe it will continue investigating new vehicles technologies and will extend its scope to cover the integration of the zero tailpipe emission vehicles in their eco system contributing to boost the EU competitiveness and technological leadership Beyond the objective of zero tailpipe emission in road transport the 2Zero partnership is also supporting economic growth and job creation the increase of EU competitiveness and will strengthen the technology leadership of the EU in road transport related aspectsIt uses Science and technology regulation and soft law as policy instruments.,189
France,FRANCE 2030 INVESTMENT PLAN CLEAN TRANSPORT INVESTMENT,"France's FRANCE 2030 INVESTMENT PLAN CLEAN TRANSPORT INVESTMENT (2022 - Ongoing). In the framework of the France 2030 investment plan the French government will invest EUR 1 2 billion on R D activities on clean transport It has the following objectives: Developing a low carbon airplaneIt uses Strategies, agendas and plans as policy instruments.",54
Norway,NATIONAL AVIATION STRATEGY LOW AND NO EMISSIONS AIRCRAFT,"Norway's NATIONAL AVIATION STRATEGY LOW AND NO EMISSIONS AIRCRAFT (2023 - 2036). The strategy provides a comprehensive review of the government s policy in the aviation area and contains goals and measures for sustainable aviation in terms of climate and environment social conditions geography and economy It has the following objectives: To speed up the transition towards zero and low emission aviation so that the first commercial zero emission aircraft are phased in Norway as soon as technology permitsIt uses Strategies, agendas and plans as policy instruments.",87
Slovenia,ALTERNATIVE FUELS INFRASTRUCTURE IN TRANSPORT,"Slovenia's ALTERNATIVE FUELS INFRASTRUCTURE IN TRANSPORT (2021 - Ongoing). Measures under the sustainable mobility component of the green transition of the recovery and resilience plan for Slovenia It includes promoting the development of alternative fuels infrastructure in transport via a network of electric vehicle charging points 7 75 million EUR It has the following objectives: To contribute to the reduction of greenhouse gas emissions from the transport sector To enhance the use of public passenger transportIt uses Strategies, agendas and plans as policy instruments.",84
United Kingdom,UK SHIPPING OFFICE FOR REDUCING EMISSIONS,United Kingdom's UK SHIPPING OFFICE FOR REDUCING EMISSIONS (2022 - 2025). GBP206M of research and development funding was allocated to br establish the office UK SHORE is a new team within the UK Department for Transport focused on decarbonising the domestic maritime sector It will work in partnership with industry to tackle supply and demand side barriers as well as developing the infrastructure and consumer confidence to support zero emission technologies It has the following objectives: To address different barriers to maritime decarbonisation over a range of technology readiness levelsIt uses Creation or reform of governance structure or public body as policy instruments.,103
United States,INFLATION REDUCTION ACT 2022 SEC 40007 ALTERNATIVE FUEL AND LOW EMISSION AVIATION TECHNOLOGY PROGRAM,"United States's INFLATION REDUCTION ACT 2022 SEC 40007 ALTERNATIVE FUEL AND LOW EMISSION AVIATION TECHNOLOGY PROGRAM (2022 - Ongoing). The U S Inflation Reduction Act of 2022 allocates USD 300 million on grants It has the following objectives: To support the development and application of low emission aviation technologies especially fuels in the U SIt uses Project grants for public research, Grants for business R&D and innovation as policy instruments.",70
United States,INFLATION REDUCTION ACT 2022 SEC 60102 GRANTS TO REDUCE AIR POLLUTION AT PORTS,"United States's INFLATION REDUCTION ACT 2022 SEC 60102 GRANTS TO REDUCE AIR POLLUTION AT PORTS (2022 - Ongoing). The U S Inflation Reduction Act of 2022 allocates USD 3 billion in funding for rebates and grants to expand the use of zero emission technologies at ports and to create climate action plans for ports It has the following objectives: nanIt uses Project grants for public research, Grants for business R&D and innovation as policy instruments.",75
United States,INFLATION REDUCTION ACT 2022 SEC 60103 GREENHOUSE GAS REDUCTION FUND,"United States's INFLATION REDUCTION ACT 2022 SEC 60103 GREENHOUSE GAS REDUCTION FUND (2022 - Ongoing). The U S Inflation Reduction Act of 2022 allocates USD 27 billion in funding for grants to reduce greenhouse gas emissions and other air pollution including via the uptake of zero emission technologies in disadvantaged communities It has the following objectives: nanIt uses Project grants for public research, Grants for business R&D and innovation as policy instruments.",72
